CID,selection_strategy,coverage_threshold,map_shape_h,map_shape_w
58,best_quality,0.5,79,43
126,best_quality,0.5,79,43
176,best_quality,0.5,79,43
179,best_quality,0.5,79,43
180,best_quality,0.5,79,43
240,best_quality,0.5,79,43
244,best_quality,0.5,79,43
261,best_quality,0.5,79,43
263,best_quality,0.5,79,43
264,best_quality,0.5,79,43
284,best_quality,0.5,79,43
356,best_quality,0.5,79,43
379,best_quality,0.5,79,43
454,best_quality,0.5,79,43
460,best_quality,0.5,79,43
527,best_quality,0.5,79,43
568,best_quality,0.5,79,43
650,best_quality,0.5,79,43
702,best_quality,0.5,79,43
887,best_quality,0.5,79,43
931,best_quality,0.5,79,43
957,best_quality,0.5,79,43
1031,best_quality,0.5,79,43
1032,best_quality,0.5,79,43
1140,best_quality,0.5,79,43
1183,best_quality,0.5,79,43
2758,best_quality,0.5,79,43
3314,best_quality,0.5,79,43
3776,best_quality,0.5,79,43
3893,best_quality,0.5,79,43
4133,best_quality,0.5,79,43
5634,best_quality,0.5,79,43
6184,best_quality,0.5,79,43
6276,best_quality,0.5,79,43
6386,best_quality,0.5,79,43
6416,best_quality,0.5,79,43
6417,best_quality,0.5,79,43
6425,best_quality,0.5,79,43
6501,best_quality,0.5,79,43
6549,best_quality,0.5,79,43
6560,best_quality,0.5,79,43
6568,best_quality,0.5,79,43
6569,best_quality,0.5,79,43
6584,best_quality,0.5,79,43
6590,best_quality,0.5,79,43
6669,best_quality,0.5,79,43
6989,best_quality,0.5,79,43
7047,best_quality,0.5,79,43
7144,best_quality,0.5,79,43
7150,best_quality,0.5,79,43
7151,best_quality,0.5,79,43
7169,best_quality,0.5,79,43
7237,best_quality,0.5,79,43
7247,best_quality,0.5,79,43
7268,best_quality,0.5,79,43
7334,best_quality,0.5,79,43
7366,best_quality,0.5,79,43
7406,best_quality,0.5,79,43
7410,best_quality,0.5,79,43
7460,best_quality,0.5,79,43
7500,best_quality,0.5,79,43
7507,best_quality,0.5,79,43
7559,best_quality,0.5,79,43
7581,best_quality,0.5,79,43
7583,best_quality,0.5,79,43
7668,best_quality,0.5,79,43
7705,best_quality,0.5,79,43
7725,best_quality,0.5,79,43
7749,best_quality,0.5,79,43
7761,best_quality,0.5,79,43
7762,best_quality,0.5,79,43
7765,best_quality,0.5,79,43
7770,best_quality,0.5,79,43
7792,best_quality,0.5,79,43
7795,best_quality,0.5,79,43
7797,best_quality,0.5,79,43
7799,best_quality,0.5,79,43
7802,best_quality,0.5,79,43
7803,best_quality,0.5,79,43
7809,best_quality,0.5,79,43
7824,best_quality,0.5,79,43
7826,best_quality,0.5,79,43
7895,best_quality,0.5,79,43
7929,best_quality,0.5,79,43
7938,best_quality,0.5,79,43
7943,best_quality,0.5,79,43
7947,best_quality,0.5,79,43
7967,best_quality,0.5,79,43
7991,best_quality,0.5,79,43
7997,best_quality,0.5,79,43
8034,best_quality,0.5,79,43
8035,best_quality,0.5,79,43
8051,best_quality,0.5,79,43
8058,best_quality,0.5,79,43
8060,best_quality,0.5,79,43
8063,best_quality,0.5,79,43
8067,best_quality,0.5,79,43
8091,best_quality,0.5,79,43
8092,best_quality,0.5,79,43
8093,best_quality,0.5,79,43
8103,best_quality,0.5,79,43
8118,best_quality,0.5,79,43
8125,best_quality,0.5,79,43
8129,best_quality,0.5,79,43
8130,best_quality,0.5,79,43
8141,best_quality,0.5,79,43
8143,best_quality,0.5,79,43
8160,best_quality,0.5,79,43
8163,best_quality,0.5,79,43
8174,best_quality,0.5,79,43
8175,best_quality,0.5,79,43
8182,best_quality,0.5,79,43
8184,best_quality,0.5,79,43
8194,best_quality,0.5,79,43
8205,best_quality,0.5,79,43
8257,best_quality,0.5,79,43
8369,best_quality,0.5,79,43
8615,best_quality,0.5,79,43
8635,best_quality,0.5,79,43
8658,best_quality,0.5,79,43
8842,best_quality,0.5,79,43
8857,best_quality,0.5,79,43
8858,best_quality,0.5,79,43
8892,best_quality,0.5,79,43
8900,best_quality,0.5,79,43
8902,best_quality,0.5,79,43
8908,best_quality,0.5,79,43
8914,best_quality,0.5,79,43
9007,best_quality,0.5,79,43
9233,best_quality,0.5,79,43
9234,best_quality,0.5,79,43
9266,best_quality,0.5,79,43
10263,best_quality,0.5,79,43
10345,best_quality,0.5,79,43
10405,best_quality,0.5,79,43
10686,best_quality,0.5,79,43
10722,best_quality,0.5,79,43
10882,best_quality,0.5,79,43
10953,best_quality,0.5,79,43
10976,best_quality,0.5,79,43
11005,best_quality,0.5,79,43
11006,best_quality,0.5,79,43
11040,best_quality,0.5,79,43
11173,best_quality,0.5,79,43
11509,best_quality,0.5,79,43
11513,best_quality,0.5,79,43
11520,best_quality,0.5,79,43
11529,best_quality,0.5,79,43
11559,best_quality,0.5,79,43
11569,best_quality,0.5,79,43
11579,best_quality,0.5,79,43
11583,best_quality,0.5,79,43
11617,best_quality,0.5,79,43
11622,best_quality,0.5,79,43
12105,best_quality,0.5,79,43
12202,best_quality,0.5,79,43
12206,best_quality,0.5,79,43
12216,best_quality,0.5,79,43
12243,best_quality,0.5,79,43
12296,best_quality,0.5,79,43
12297,best_quality,0.5,79,43
12348,best_quality,0.5,79,43
12367,best_quality,0.5,79,43
12370,best_quality,0.5,79,43
12377,best_quality,0.5,79,43
12388,best_quality,0.5,79,43
12389,best_quality,0.5,79,43
12391,best_quality,0.5,79,43
12508,best_quality,0.5,79,43
12741,best_quality,0.5,79,43
12844,best_quality,0.5,79,43
13162,best_quality,0.5,79,43
13187,best_quality,0.5,79,43
13207,best_quality,0.5,79,43
13398,best_quality,0.5,79,43
13546,best_quality,0.5,79,43
14066,best_quality,0.5,79,43
14257,best_quality,0.5,79,43
14286,best_quality,0.5,79,43
14296,best_quality,0.5,79,43
15448,best_quality,0.5,79,43
15600,best_quality,0.5,79,43
16029,best_quality,0.5,79,43
16275,best_quality,0.5,79,43
16301,best_quality,0.5,79,43
16666,best_quality,0.5,79,43
17008,best_quality,0.5,79,43
17769,best_quality,0.5,79,43
18554,best_quality,0.5,79,43
19309,best_quality,0.5,79,43
19460,best_quality,0.5,79,43
19707,best_quality,0.5,79,43
19878,best_quality,0.5,79,43
20083,best_quality,0.5,79,43
20748,best_quality,0.5,79,43
21009,best_quality,0.5,79,43
22201,best_quality,0.5,79,43
22217,best_quality,0.5,79,43
22386,best_quality,0.5,79,43
22556,best_quality,0.5,79,43
25612,best_quality,0.5,79,43
26447,best_quality,0.5,79,43
26808,best_quality,0.5,79,43
27867,best_quality,0.5,79,43
31244,best_quality,0.5,79,43
31246,best_quality,0.5,79,43
31249,best_quality,0.5,79,43
31252,best_quality,0.5,79,43
31265,best_quality,0.5,79,43
31272,best_quality,0.5,79,43
31276,best_quality,0.5,79,43
31283,best_quality,0.5,79,43
31289,best_quality,0.5,79,43
32045,best_quality,0.5,79,43
33094,best_quality,0.5,79,43
60997,best_quality,0.5,79,43
61016,best_quality,0.5,79,43
61020,best_quality,0.5,79,43
61138,best_quality,0.5,79,43
61199,best_quality,0.5,79,43
61206,best_quality,0.5,79,43
61303,best_quality,0.5,79,43
61384,best_quality,0.5,79,43
61814,best_quality,0.5,79,43
62003,best_quality,0.5,79,43
62539,best_quality,0.5,79,43
66774,best_quality,0.5,79,43
69963,best_quality,0.5,79,43
70099,best_quality,0.5,79,43
70610,best_quality,0.5,79,43
70615,best_quality,0.5,79,43
78274,best_quality,0.5,79,43
82229,best_quality,0.5,79,43
82916,best_quality,0.5,79,43
88068,best_quality,0.5,79,43
92831,best_quality,0.5,79,43
93009,best_quality,0.5,79,43
94060,best_quality,0.5,79,43
98471,best_quality,0.5,79,43
99873,best_quality,0.5,79,43
159055,best_quality,0.5,79,43
219794,best_quality,0.5,79,43
251531,best_quality,0.5,79,43
261491,best_quality,0.5,79,43
369312,best_quality,0.5,79,43
439250,best_quality,0.5,79,43
439570,best_quality,0.5,79,43
440917,best_quality,0.5,79,43
440967,best_quality,0.5,79,43
442478,best_quality,0.5,79,43
517827,best_quality,0.5,79,43
565690,best_quality,0.5,79,43
636687,best_quality,0.5,79,43
637511,best_quality,0.5,79,43
637520,best_quality,0.5,79,43
637566,best_quality,0.5,79,43
638079,best_quality,0.5,79,43
641256,best_quality,0.5,79,43
643731,best_quality,0.5,79,43
643820,best_quality,0.5,79,43
853433,best_quality,0.5,79,43
1549018,best_quality,0.5,79,43
1549025,best_quality,0.5,79,43
1549026,best_quality,0.5,79,43
1796220,best_quality,0.5,79,43
2724161,best_quality,0.5,79,43
3578033,best_quality,0.5,79,43
5280435,best_quality,0.5,79,43
5281167,best_quality,0.5,79,43
5281515,best_quality,0.5,79,43
5282108,best_quality,0.5,79,43
5283349,best_quality,0.5,79,43
5284503,best_quality,0.5,79,43
5284507,best_quality,0.5,79,43
5315892,best_quality,0.5,79,43
5318042,best_quality,0.5,79,43
5321950,best_quality,0.5,79,43
5324489,best_quality,0.5,79,43
5325830,best_quality,0.5,79,43
5357253,best_quality,0.5,79,43
5364446,best_quality,0.5,79,43
5364448,best_quality,0.5,79,43
5364532,best_quality,0.5,79,43
5367807,best_quality,0.5,79,43
5373603,best_quality,0.5,79,43
5463682,best_quality,0.5,79,43
12315259,best_quality,0.5,79,43
