CID,Name,n_maps,selected_idx,removed_indices,coverage_frac,range,mean_active,std_active,composite_score,score_diff,close_call,z_coverage,z_range,z_mean
58,2-ketobutyric acid,1,0,,0.27524286134824844,7.699999999999999,0.6368463636363637,0.6382798924727396,0.0,,False,,,
126,4-hydroxybenzaldehyde,1,0,,0.3491315866941419,12.150300000000001,0.5841483979763912,0.4860269157512798,0.0,,False,,,
176,acetic acid,1,0,,0.3347070944951428,8.8854,0.4747180299032542,0.42723956044076417,0.0,,False,,,
179,acetoin,1,0,,0.2569914630556373,7.552,0.785858178694158,0.70893414722813,0.0,,False,,,
180,acetone-simp,3,2,"0,1",0.27848101265822783,11.258,0.6542588689217759,0.6377482391154126,0.14609583573387694,0.08841400314194545,True,-1.1406468642034606,1.0432873073938418,-0.48691078508699154
240,benzaldehyde,3,2,"0,1",0.2867235796290845,6.12,0.7000924024640657,0.5337495622086104,0.4668627120946652,0.21369017160645698,True,0.22374751166058254,0.1645593230341745,-0.15711175479981632
244,benzyl alcohol,1,0,,0.2976155431262879,6.01,0.5548367952522256,0.5350656042596436,0.0,,False,,,
261,butanal,1,0,,0.33794524580512214,7.6243,0.5482579268292683,0.4811831186322703,0.0,,False,,,
263,1-butanol,2,1,0,0.2976155431262879,9.915700000000001,0.6803923837784372,0.5653091003014502,1.767766952966342,3.5355339059327373,False,0.7071067811865208,0.7071067811865476,-0.7071067811865475
264,butyric acid,2,1,0,0.2973211657344716,8.204699999999999,0.529480099009901,0.5875431393725508,1.7677669529663704,3.5355339059327373,False,0.7071067811865493,0.7071067811865475,-0.7071067811865476
284,formic acid,1,0,,0.33323520753606123,11.1499,0.5273226148409894,0.5108772963681194,0.0,,False,,,
356,octane,3,2,"0,1",0.31763320576979687,7.01,0.6471455050973123,0.4768715708102001,2.3757855809349118,2.2257838006940243,False,0.7950442410836983,1.0591519629239279,-1.0431787538545712
379,octanoic acid,1,0,,0.2802472770091257,6.789,0.5684297268907562,0.5968609219719753,0.0,,False,,,
454,octanal,1,0,,0.2584633500147189,5.498,0.7520461275626423,0.6519172712250004,0.0,,False,,,
460,guaiacol,1,0,,0.33971151015602,10.681000000000001,0.5808290294627384,0.533705760721493,0.0,,False,,,
527,propanal,1,0,,0.34177215189873417,12.360199999999999,0.5294959517657193,0.5058055570158948,0.0,,False,,,
568,dibenzofuran,1,0,,0.3294083014424492,7.371,0.6166557730116176,0.5068416427920969,0.0,,False,,,
650,"2,3-butanedione",1,0,,0.260523991757433,8.496,0.7465068248587571,0.7311049073473106,0.0,,False,,,
702,ethanol,1,0,,0.33823962319693845,9.697799999999999,0.4902126196692777,0.4353859416407802,0.0,,False,,,
887,methanol,6,3,"0,1,2,4,5",0.3506034736532234,13.6837,0.46993694374475237,0.4147283415178731,3.446833498033686,2.019063646786325,False,1.4870133697928911,1.4510215756934923,-1.017597105094605
931,naphthalene,1,0,,0.3229319988224904,10.5449,0.6279061987237923,0.5505257081801245,0.0,,False,,,
